Artist,Song Title,Genre (Aneeka),Genre (Samantha),Genre (Michael) ,Lyrics
Drake,God's Plan,Pop,Hip-Hop,Hip-Hop,"Yeah they wishin' and wishin' and wishin' and wishin' They wishin' on me, yuh I been movin' calm, don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 AM to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Yes I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story, shit was different with me God's plan, God's plan I hold back, sometimes I won't, yuh I feel good, sometimes I don't, ay, don't I finessed down Weston Road, ay, 'nessed Might go down a G.O.D., yeah, wait I go hard on Southside G, yuh, Way I make sure that north-side eat And still Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yuh, ay, ay She say, ""Do you love me?"" I tell her, ""Only partly"" I only love my bed and my momma, I'm sorry Fifty Dub, I even got it tatted on me 81, they'll bring the crashers to the party And you know me Turn the O2 into the O3, dog Without 40, Oli', there'd would be no me Imagine if I never met the broskies God's plan, God's plan I can't do this on my own, ay, no, ay Someone watchin' this shit close, yep, close I've been me since Scarlett Road, ay, road, ay Might go down as G.O.D., yeah, wait I go hard on Southside G, ay, Way I make sure that north-side eat, yuh And still Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yeah, yeah Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yeah"
XXXTENTACION,SAD!,Hip-Hop,Rap,Hip-Hop,"Yeah Who am I? Someone that's afraid to let go, uh You decide, if you're ever gonna, let me know (yeah) Suicide, if you ever try to let go, uh I'm sad and low, yeah I'm sad and low, yeah Who am I? Someone that's afraid to let go, uh You decide, if you're ever gonna, let me know (yeah) Suicide, if you ever try to let go, uh I'm sad and low, yeah I'm sad and low, yeah I gave her everything She took my heart and left me lonely I've been broken, heart's contentious I won't fix, I'd rather weep I'm lost and I'm found, but It's torture being in love I love when you're around But I fucking hate when you leave Who am I? Someone that's afraid to let go, uh You decide, if you're ever gonna, let me know (yeah) Suicide, if you ever try to let go, uh I'm sad and low, yeah I'm sad and low, yeah Who am I? Someone that's afraid to let go, uh You decide, if you're ever gonna, let me know (yeah) Suicide, if you ever try to let go, uh I'm sad and low, yeah I'm sad and low, yeah Who am I? Someone that's afraid to let go, uh You decide, if you're ever gonna, let me know (yeah) Suicide, if you ever try to let go, uh I'm sad and low, yeah I'm sad and low, yeah Who am I? Someone that's afraid to let go, uh You decide, if you're ever gonna, let me know (yeah) Suicide, if you ever try to let go, uh I'm sad and low, yeah I'm sad and low, yeah"
Post Malone,rockstar (feat. 21 Savage),Hip-Hop,Hip-Hop,Hip-Hop,"Ayy, I've been fuckin' hoes and Poppin' pillies Man, I feel just like a rockstar (star) Ayy, ayy, all my brothers got that gas And they always be smokin' like a Rasta Fuckin' with me, call up on a Uzi And show up, man them the shottas When my homies pull up on your block They make that thing go grrra-ta-ta-ta (pow, pow, pow) Ayy, ayy, switch my whip, came back in black I'm startin' sayin', ""Rest in peace to Bon Scott"" Ayy, close that door, we blowin' smoke She ask me light a fire like I'm Morrison Ayy, act a fool on stage Prolly leave my fuckin' show in a cop car Ayy, shit was legendary Threw a TV out the window of the Montage Cocaine on the table, liquor pourin', don't give a damn Dude, your girlfriend is a groupie, she just tryna get in Sayin', ""I'm with the band"" Ayy, ayy, now she actin' outta pocket Tryna grab up from my pants Hundred bitches in my trailer say they ain't got a man And they all brought a friend Yeah, ayy Ayy, I've been fuckin' hoes and Poppin' pillies Man, I feel just like a rockstar (star) Ayy, ayy, all my brothers got that gas And they always be smokin' like a Rasta Fuckin' with me, call up on a Uzi And show up, man them the shottas When my homies pull up on your block They make that thing go grrra-ta-ta-ta (pow, pow, pow) I've been in the Hills fuckin' superstars Feelin' like a Pop star (21, 21, 21) Drankin' Henny, bad bitches jumpin' in the pool And they ain't got on no bra Hit her from the back, pullin' on her tracks And now she screamin' out, ""no más"" (yeah, yeah, yeah) They like, ""Savage, why you got a 12 car garage And you only got 6 cars?"" (21) I ain't with the cakin', how you kiss that? (kiss that?) Your wifey say I'm lookin' like a whole snack (big snack) Green hundreds in my safe, I got old racks (old racks) L.A. bitches always askin' where the coke at Livin' like a rockstar, smash out on a cop car Sweeter than a Pop-Tart, you know you are not hard I done made the hot chart, 'member I used to Trap hard Livin' like a rockstar, I'm livin' like a rockstar Ayy, I've been fuckin' hoes and Poppin' pillies Man, I feel just like a rockstar (star) Ayy, ayy, all my brothers got that gas And they always be smokin' like a Rasta Fuckin' with me, call up on a Uzi And show up, man them the shottas When my homies pull up on your block They make that thing go grrra-ta-ta-ta (pow, pow, pow) Rockstar Rockstar, feel just like a rock Rockstar Star Rockstar Feel just like a"
Post Malone,Psycho (feat. Ty Dolla $ign),Hip-Hop,R&B,Hip-Hop,"Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though You stuck in the friend zone, I tell that four-five the fifth, ay Hunnid bands inside my shorts, DeChino the shit, ay Try to stuff it all in, but it don't even fit, ay Know that I been with the shits ever since a jit, ay I made my first million, I'm like, ""Shit, this is it, "" ay 30 for a walkthrough, man, we had that bitch lit, ay Had so many bottles, gave ugly girl a sip Out the window of the Benzo, we get seen in the rent' And I'm like ""Whoa, man, my neck so goddamn cold"" Diamonds wet, my t-shirt soaked I got homies, let it blow, oh My money thick, won't ever fold She said, ""Can I have some to hold?"" And I can't ever tell you no Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though The AP goin' psycho, my Rollie goin' brazy I'm hittin' lil' mama, she wanna have my babies It's fifty on the pinky, chain so stanky You should see the whip, promise I can take yo bitch Dolla ridin' in an old school Chevy, it's a drop top Boolin' with a thot-thot, she gon' give me top-top Just one switch, I can make the ass drop (hey) Uh, take you to the smoke shop We gon' get high, ay, we gon' hit Rodeo Dial up Valentino, we gon' hit Pico Take you where I'm from, take you to the slums This ain't happen overnight, no, these diamonds real bright Saint Laurent jeans, still in my Vans though All VVSs, put you in a necklace Girl, you look beautiful tonight Stars on the roof, they matching with the jewelry Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though"
Drake,In My Feelings,Hip-Hop,Hip-Hop,Hip-Hop,"Trap, TrapMoneyBenny This shit got me in my feelings Gotta be real with it, yup Kiki, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always KB, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always Look, the new me is really still the real me I swear you gotta feel me before they try and kill me They gotta make some choices, they runnin' out of options 'Cause I've been goin' off and they don't know when it's stoppin' And when you get to toppin', I see that you've been learnin' And when I take you shoppin' you spend it like you earned it And when you Popped off on your ex he deserved it I thought you were the one from the jump, that confirmed it Trapmoneybenny I buy you champagne but you love some Henny From the block like you Jenny I know you special, girl, 'cause I know too many 'Resha, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always J.T., do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always Two bad bitches and we kissin' in the Wraith Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith I need that black card and the code to the safe Code to the safe, code-code to the safe-safe I show him how the neck work Fuck that Netflix and chill, what's your net-net-net worth? 'Cause I want ya, and I need ya And I'm down for you always (Yeah, yeah) And I'm down for you always D-down for you always D-d-down for you always (I got a new boy, and that nigga trade) Kiki, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want you, and I need you And I'm down for you always KB, do you love me? Are you riding? Say you'll never ever leave From beside me, 'cause I want ya, and I Bring that ass, bring that ass, bring that ass back B-bring that ass, bring that ass, bring that ass back Shawty say the nigga that she with can't hit But shawty, I'ma hit it, hit it like I can't miss (Clap that ass, you're the only one I love) (Clap that ass, clap, clap) Bring that ass back (Clap that ass, you're the only one I love) (Let's go, let's go) Bring that ass back Trap, TrapMoneyBenny This shit got me in my feelings I just gotta be real with it, yup ""What are y'all talkin' about?"" ""I don't even care, I need a photo with Drake Because my Instagram is weak as fuck"" ""What are you talkin' about?"" ""I'm just being real, my shit look"""
Post Malone,Better Now,Hip-Hop,Hip-Hop,Hip-Hop,"You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything, oh whoa I did not believe that it would end, no Everything came second to the Benzo You're not even speaking to my friends, no You knew all my uncles and my aunts though Twenty candles, blow 'em out and open your eyes We were looking forward to the rest of our lives Used to keep my picture posted by your bedside Now it's in your dresser with the socks you don't like And I'm rollin', rollin', rollin', rollin' With my brothers like it's Jonas, Jonas Drinkin' Henney and I'm tryna forget But I can't get this shit outta my head You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything, oh whoa I seen you with your other dude He seemed like he was pretty cool I was so broken over you Life, it goes on, what can you do? I just wonder what it's gonna take (what's it gonna take?) Another foreign or a bigger chain (bigger chain) Because no matter how my life has changed (matter how my life has changed) I keep on looking back on better days You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything, oh whoa I promise I swear to you, I'll be okay You're only the love of my life You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything, oh whoa"
Cardi B,I Like It,Hip-Hop,Hip-Hop,Hip-Hop,"Yeah baby, I like it like that You gotta believe me when I tell you I said I like it like that You gotta believe me when I tell you I said I like it like Now I like dollars, I like diamonds I like stunting, I like shining I like million dollar deals Where's my pen? Bitch I'm signin' I like those Balenciagas, the ones that look like socks I like going to the jeweler, I put rocks all in my watch I like texts from my exes when they want a second chance I like proving niggas wrong, I do what they say I can't They call me Cardi Bardi, banging body Spicy mami, hot tamale Hotter than a Somali, fur coat, Ferrari Hop out the stu', jump in the coupe (the coupe) Big Dipper on top of the roof Flexing on bitches as hard as I can Eating halal, driving the Lam' Told that bitch I'm sorry though 'Bout my coins like Mario (Mario) Yeah they call me Cardi B, I run this shit like cardio Oh, facts Diamond district in the Jag' (I said I like it like that) Certified, you know I'm gang, gang, gang, gang (I said I like it like) Drop the top and blow the brains (I said I like it like that) Oh he's so handsome, what's his name? (I said I like it) Oh I need the dollars (I said I like it like that) (ch-ching) Beat it up like piñatas (I said I like it like) Tell the driver, close the curtains (I said I like it like that) Bad bitch make him nervous (I said I like it) Cardi B Chambean, chambean, pero no jalan (¡jalan!) Tú compras to'a las Jordan, bobo, a mí me las regalan (jejeje) I spend in the club (wuh), what you have in the bank (yeh) This is the new religion, bang, en latino gang, gang, yeh Trato de hacer dieta (yeh) Pero es que en el closet tengo mucha grasa (wuh) Ya mude la Gucci pa' dentro de casa, yeh (¡wuh!) Cabrón, a ti no te conocen ni en Plaza (no) El Diablo me llama pero Jesucristo me abraza Guerrero como Eddie, que viva la raza (yeh) Me gustan boricuas, me gustan cubanas (rrr) Me gusta el acento de las colombianas (¿qué hubo pues?) Cómo mueve el culo la dominicana (¿qué lo que?) Lo rico que me chingan las venezolanas (woo!) Andamos activos, Perico Pin Pin (woo) Billetes de cien en el maletín (ching) Que retumbe el bajo, Bobby Valentin, yeh (boo) Aquí es prohibido amar, diles Charytín Que pa'l picor les tengo Claritin Yo llego a la disco y se forma el motín (rrr) Diamond district in the Jag' (I said I like it like that) Bad Bunny, baby, be, be, be, be Certified, you know I'm gang, gang, gang, gang (I said I like it like–) Drop the top and blow the brains (I said I like it like that) Oh he's so handsome, what's his name? (I said I like it) Oh I need the dollars (I said I like it like that) Beat it up like piñatas (I said I like it like) Tell the driver, close the curtains (I said I like it like that) Bad bitch make him nervous (I said I like it) Como Celia Cruz tengo el azúcar (azúca') Tu jeva me vio y se fue de pecho como Jimmy Snuka (ah) Te vamos a tumbar la peluca Y arranca pa'l carajo cabrón Que a ti no te vo'a pasar la hookah (hookah, hookah) Mis tenis Balenciaga, me reciben en la entrada (woo) Pa-pa-pa-pa-razzi, like I'm Lady Gaga (woo) Y no te me hagas (ey) Que en cover de Billboard tú has visto mi cara (ey) No salgo de tu mente Donde quieras que viajes has escuchado ""Mi Gente"" Yo no soy high (high), soy como el Testarossa ('rossa) Soy el que se la vive y también el que la goza (goza, goza) Es la cosa, mami es la cosa (cosa, cosa) El que mira sufre y el que toca goza (goza, goza) I said I like it like that I said I like it like that (rrr) I said I like it like that (woo) I said I like it like that Diamond district in the Jag (I said I like it like that) Certified, you know I'm gang, gang, gang, gang (I said I like it like–) Drop the top and blow the brains (I said I like it like that) Oh he's so handsome, what's his name? (I said I like it)"
Calvin Harris,One Kiss (with Dua Lipa),Pop,Dance,Pop,"Let me take the night, I love real easy And I know that you'll still wanna see me On the Sunday morning, music real loud Let me love you while the moon is still out Something in you, lit up heaven in me The feeling won't let me sleep 'Cause I'm lost in the way you move, the way you feel One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One One One One I just wanna feel your skin on mine Feel your eyes do the exploring Passion in the message when you smile Take my time Something in you lit up heaven in me The feeling won't let me sleep 'Cause I'm lost in the way you move, the way you feel One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One One One One See a wonderland in your eyes Might need your company tonight Something in you lit up heaven in me The feeling won't let me sleep 'Cause I'm lost in the way you move, the way you feel One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One kiss is all it takes Fallin' in love with me Possibilities I look like all you need One One One One, all I need"
Dua Lipa,IDGAF,Pop,Pop,Pop,"You call me all friendly Tellin' me how much you miss me That's funny, I guess you've heard my songs Well, I'm too busy for your business Go find a girl who wants to listen 'Cause if you think I was born yesterday You have got me wrong So I cut you off I don't need your love 'Cause I already cried enough I've been done I've been movin' on since we said goodbye I cut you off I don't need your love, so you can try all you want Your time is up, I'll tell you why You say you're sorry But it's too late now So save it, get gone, shut up 'Cause if you think I care about you now Well, boy, I don't give a fuck I remember that weekend When my best friend caught you creepin' You blamed it all on the alcohol So I made my decision 'Cause you made your bed, sleep in it Play the victim and switch your position I'm through, I'm done So I cut you off I don't need your love 'Cause I already cried enough I've been done I've been movin' on since we said goodbye I cut you off I don't need your love, so you can try all you want Your time is up, I'll tell you why You say you're sorry But it's too late now So save it, get gone, shut up 'Cause if you think I care about you now Well, boy, I don't give a fuck I see you tryna' get to me I see you beggin' on your knees Boy, I don't give a fuck So stop tryna' get to me Tch, get up off your knees 'Cause, boy, I don't give a fuck About you No, I don't give a damn You keep reminiscin' on when you were my man But I'm over you Now you're all in the past You talk all that sweet talk, but I ain't comin' back Cut you off I don't need your love So you can try all you want Your time is up, I'll tell you why (I'll tell you why) You say you're sorry But it's too late now So save it, get gone, shut up (Too late now) 'Cause if you think I care about you now Well, boy, I don't give a fuck (Boy, I don't give a fuck) I see you tryna' get to me I see you beggin' on your knees Boy, I don't give a fuck So stop tryna' get to me (Get to me) Tch, get up off your knees 'Cause, boy, I don't give a fuck"
Marshmello,FRIENDS,Pop,Pop,Pop,"Ooh ooh, ooh ooh Ooh ooh, ooh ooh You say you love me, I say you crazy We're nothing more than friends You're not my lover, more like a brother I known you since we were like ten, yeah Don't mess it up, talking that shit Only gonna push me away, that's it When you say you love me, that make me crazy Here we go again Don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Have you got no shame? You looking insane Turning up at my door It's two in the morning, the rain is pouring Haven't we been here before? Don't mess it up, talking that shit Only gonna push me away, that's it Have you got no shame? You looking insane Here we go again So don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Haven't I made it?) Haven't I made it clear? (Haven't I made it clear?) Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? (Haven't I?) Want me to spell it out for you? (To spell it out for you?) F-R-I-E-N-D-S F-R-I-E-N-D-S F-R-I-E-N-D-S That's how you f- spell ""friends"" F-R-I-E-N-D-S Get that shit inside your head No, no, yeah, uh, ah F-R-I-E-N-D-S We're just friends So don't go look at me with that look in your eye You really ain't going nowhere without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Have I not made it obvious?) Haven't I made it clear? (I made it very clear) Want me to spell it out for you? (Yo) F-R-I-EN-D-S (I said F-R-I-E-N-D-S) Haven't I made it obvious? (I made it very obvious) Haven't I made it clear? (I made it very clear) Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-SOoh ooh, ooh ooh Ah ah ah"
