,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,Genre
0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.286,1,Mask Off,Future,Hip Hop
1,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4,0.588,1,Redbone,Childish Gambino,R&B
2,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4,0.173,1,Xanny Family,Future,Hip Hop
3,0.604,0.494,199413,0.338,0.51,5,0.0922,-15.236,1,0.0261,86.468,4,0.23,1,Master Of None,Beach House,Indie
4,0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,4,0.904,1,Parallel Lines,Junior Boys,Rock
5,0.00479,0.804,251333,0.56,0,8,0.164,-6.682,1,0.185,85.023,4,0.264,1,Sneakin’,Drake,Hip Hop
6,0.0145,0.739,241400,0.472,7.27E-06,1,0.207,-11.204,1,0.156,80.03,4,0.308,1,Childs Play,Drake,Hip Hop
7,0.0202,0.266,349667,0.348,0.664,10,0.16,-11.609,0,0.0371,144.154,4,0.393,1,Gyöngyhajú lány,Omega,Rock
8,0.0481,0.603,202853,0.944,0,11,0.342,-3.626,0,0.347,130.035,4,0.398,1,I've Seen Footage,Death Grips,Hip Hop
9,0.00208,0.836,226840,0.603,0,7,0.571,-7.792,1,0.237,99.994,4,0.386,1,Digital Animal,Honey Claws,Dance
10,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,Dance
11,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,4,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,Dance
12,0.253,0.603,356973,0.434,0.0619,0,0.108,-11.062,1,0.0342,127.681,4,0.381,1,Cemalim,Erkin Koray,Dance
13,0.366,0.762,243270,0.476,0,0,0.103,-12.686,1,0.114,130.007,4,0.367,1,One Night,Lil Yachty,Hip Hop
14,0.44,0.662,247288,0.603,0,9,0.0972,-8.317,0,0.0793,125.011,4,0.351,1,Oh lala,PNL,Hip Hop
15,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4,0.317,1,Char,Crystal Castles,Dance
16,0.0239,0.603,270827,0.955,0.0451,1,0.119,-4.111,1,0.0458,123.922,4,0.773,1,World In Motion,New Order,Rock
17,0.233,0.789,447907,0.659,0.00049,4,0.184,-12.654,0,0.0429,122.415,4,0.842,1,One Nation Under a Groove,Funkadelic,Pop
18,0.314,0.713,195429,0.611,0,1,0.117,-6.702,0,0.241,140.061,4,0.783,1,Bouncin,Chief Keef,Hip Hop
19,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,4,0.763,1,C O O L - Radio Edit,Le Youth,Dance
20,0.000702,0.854,249253,0.719,0.308,10,0.428,-9.335,0,0.0655,128.049,4,0.471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,Dance
21,0.00024,0.747,307680,0.74,0.369,1,0.0995,-4.134,1,0.0323,130.031,4,0.77,1,House of Jealous Lovers,The Rapture,Indie
22,0.118,0.854,287086,0.401,0,9,0.527,-8.553,1,0.395,139.922,4,0.441,1,Imma Ride,Young Thug,Hip Hop
23,0.000596,0.224,132760,0.925,1.35E-06,11,0.0663,-1.71,0,0.0834,138.022,4,0.364,1,Girlfriend,Ty Segall,Indie
24,0.279,0.512,203400,0.564,1.54E-05,10,0.133,-5.892,1,0.0316,94.498,4,0.401,1,If I Gave You My Love,Myron & E,Soul
25,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4,0.795,1,This Ready Flesh,TR/ST,Dance
26,0.341,0.411,199500,0.684,1.42E-06,11,0.198,-6.889,0,0.383,110.016,4,0.598,1,Lose My Mind,A-Trak,Dance
27,0.018,0.646,188333,0.837,0.0403,6,0.316,-6.615,1,0.134,100.04,4,0.32,1,Char,Crystal Castles,Dance
28,0.0516,0.782,228562,0.572,0,4,0.33,-7.467,0,0.0385,120.021,4,0.237,1,Look Alive,Rae Sremmurd,Hip Hop
29,0.282,0.735,186096,0.4,0.125,1,0.0811,-12.766,1,0.102,129.004,4,0.326,1,Please Stop Making Fake Versace,Father,Hip Hop
30,0.00791,0.45,220934,0.449,0,2,0.173,-12.037,1,0.156,135.45,4,0.137,1,Milly Rock,2milly,Hip Hop
31,0.0219,0.897,285240,0.642,1.31E-06,2,0.159,-8.828,1,0.0534,127.984,4,0.27,1,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,Hip Hop
32,0.0358,0.959,213000,0.598,0,8,0.358,-5.534,1,0.0713,127.029,4,0.424,1,Best Friend,Young Thug,Hip Hop
33,0.0324,0.742,280831,0.559,0,5,0.0987,-5.876,1,0.141,146.923,4,0.429,1,Hercules,Young Thug,Hip Hop
34,0.118,0.805,232880,0.687,0,9,0.0842,-7.771,1,0.0458,119.999,4,0.683,1,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,Indie
35,0.0428,0.667,230693,0.581,0,0,0.183,-5.164,0,0.323,110.953,4,0.372,1,Check,Young Thug,Hip Hop
